User_ID,Age_in_Months,Gender,Location,Grade,Logins_per_Month,Days_Completed_Activity,Exercises_Started,Total_Time_Spent_in_Minutes,Course_Name,Course_Category,Completion_Rate,Average_Score,Course_Rating,Recommendation_Likelihood,Exercises_Completed,Points_Earned,Subscription_Tier,Subscription_Cost,Subscription_Length_in_Months,Renewal_Status,Tutoring,Referrals,Academic_Grade
654b113d-4ce4-41a9-a8f4-7f1419419230,156,Other,"Smithchester, VA",8th Grade,6,5,9.784358704,107.8893808,Chemistry,Science,75.33005238,86.54441205,4,3,7,1910.292936,Free,0,4,Yes,Yes,0,D
2a044973-1d29-4b2f-83f6-c488290140bb,202,Female,"Beckside, FL",10th Grade,6,6,9,198.8651711,Web Development,Programming,74.00067531,75.93794895,4,4,9,1698.767255,Free,0,1,Yes,No,0,F
d84bb18b-bd77-4be9-98bb-a0993b95af75,173,Other,"New Deborahborough, SD",9th Grade,7,4,12.15934481,232.6397843,Geometry,Math,73.33536,72.86138117,4,4,10,1860.295769,Premium,9.99,13,Yes,No,0,D
411cebf6-18cc-4846-89c7-f3f7bcaede01,199,Female,"West Stephanie, KY",12th Grade,17,17,28,506.6446909,Pre-Calculus,Math,66.87212193,70.91251011,4,3,28,4465.824908,Basic,5.99,11,Yes,No,1,F
e4ada708-10b6-4fcd-ac08-a83152658751,148,Female,"West Roberthaven, LA",7th Grade,10,8,15.45893858,305.2757061,Java Programming,Programming,72.23628053,79.71446749,4,4,17,2499.211664,Premium,9.99,12,Yes,No,0,F
c5f8e15b-ab48-4e29-ba91-c436a1e3fdd1,141,Male,"Alexanderberg, OK",6th Grade,8,6,14.46081394,256.6261658,Data Structures,Programming,73.63060953,79.07527143,4,3,10,1891.616727,Free,0,10,Yes,No,0,D
84ecb884-2c14-42a7-b3b1-1830315f492f,201,Male,"North Teresatown, MD",10th Grade,10,8,13.27800825,333.1214405,Environmental Science,Science,70.49839444,71.81823461,4,3,13,2842.759301,Free,0,1,Yes,No,0,F
aac470fe-5556-4e89-8783-4079c0b3c8ba,161,Female,"Kingbury, LA",7th Grade,7,6,12.09181407,331.1254887,Algebra 1,Math,73.03768581,77.52742359,4,4,10,2529.271431,Premium,9.99,13,Yes,No,1,F
486ae433-1533-4e0f-9c88-bfb1f844b1d1,184,Male,"Meganfurt, ND",9th Grade,8,9,18.02462597,347.1697014,Pre-Calculus,Math,70.73646219,81.40567919,4,3,13,2319.741881,Basic,5.99,9,Yes,No,2,D
8fd15651-6dfe-4d8f-ba17-90d6b372f95e,162,Male,"Ericborough, NM",9th Grade,5,4,8.291451895,237.8811638,Chemistry,Science,76.08763914,70.14007821,4,3,7,2076.829515,Free,0,1,Yes,No,0,F
c10dc7ee-9545-4418-b5aa-482be4c02d0b,186,Male,"Davenportfort, CT",10th Grade,5,3,10,162.2211412,Geometry,Math,71.52438317,71.40216579,4,4,7,1530.546814,Basic,5.99,3,Yes,No,1,F
98e4638c-ebcf-4674-8eba-59ff10c4d953,181,Female,"Port Kelly, FM",9th Grade,7,6,12.26073562,261.9138538,Biology,Science,76.23238677,71.25586939,4,3,8,1966.814347,Free,0,1,Yes,No,0,F
122c520e-836f-4b5b-8136-4a73e0f3f82a,154,Female,"New Benjaminbury, MN",8th Grade,4,4,13.09083798,169.7682014,Calculus,Math,83.2422024,79.67922624,5,4,6,1769.886756,Free,0,10,Yes,Yes,2,D
632ebb9a-a061-42f0-98d2-9dfc5065744e,151,Other,"Stuartview, IN",8th Grade,12,11,21.65399671,501.4799537,Web Development,Programming,71.45674083,72.79160397,4,3,18,2738.166496,Basic,5.99,4,Yes,No,0,F
553cbd30-963a-497a-8cdc-16a658075de5,154,Female,"Jamesview, SC",6th Grade,16,17,26.15533114,333.1130925,Physics,Science,69.17366098,75.22450479,4,4,18,3029.245978,Free,0,3,Yes,No,0,D
a400c54a-753a-4a5a-b1d6-bf0db79404f6,188,Female,"Lake Kennethstad, IL",11th Grade,9,9,21.11351943,478.1081232,Environmental Science,Science,60.7011786,72.63600469,4,3,15,3113.037429,Premium,9.99,17,Yes,No,0,D
c6994dcb-b105-4b5d-87ee-41ea5b028c0b,139,Female,"Sheilaton, AR",7th Grade,7,8,13.77781684,280.390225,Java Programming,Programming,77.91599055,73.84357453,4,4,12,2497.144047,Basic,5.99,15,Yes,No,2,F
65714ac1-8449-4e75-8cca-26d8b64e5d46,139,Female,"East Cheryl, CT",6th Grade,3,1,10.40036373,175.9323789,Physics,Science,70.37238699,74.42680514,4,4,5,2005.722331,Free,0,1,Yes,No,0,F
1f29c677-3eaf-4cc2-944e-0233e1b3989d,189,Other,"Diazmouth, MS",10th Grade,13,13,25.33272821,562.5138303,Physics,Science,87.21237202,94.26820391,4,4,19,3829.883037,Free,0,1,Yes,Yes,0,B
1e8624d4-312a-4e2c-bf39-eace5bb10fe1,177,Male,"East Alex, GA",10th Grade,11,10,15.45902555,347.9620098,Pre-Calculus,Math,74.95594025,78.93853853,4,4,15,2648.931555,Free,0,1,Yes,No,0,D
6232becd-81f2-4a86-9f72-274ef0eee062,164,Female,"Brownfort, IN",8th Grade,6,5,15.49031463,278.175837,Web Development,Programming,72.95032098,71.45619111,5,5,7,2513.878106,Free,0,1,Yes,No,1,F
54611af8-3987-4845-87b2-6a1d04ee0a62,177,Other,"Lake Jennifertown, AR",9th Grade,4,3,6,112.2924125,Java Programming,Programming,68.72581706,71.19189377,4,3,5,1262.851811,Free,0,1,Yes,No,0,F
bc1c2f56-a476-4ac1-9948-f4572a95c63c,192,Other,"New Steven, WI",11th Grade,5,6,16.30632397,335.6909787,Pre-Calculus,Math,67.52429192,75.08864098,4,3,9,2715.063587,Free,0,7,Yes,No,1,F
0de811ff-92ff-4753-8ebb-2faca55bcaad,208,Other,"South Jeffrey, MP",11th Grade,8,9,20,435.8385258,Trigonometry,Math,54.42071074,77.57374392,4,3,14,2827.752134,Basic,5.99,2,Yes,No,1,F
ba0d5121-af01-4959-9f11-0cfd448ad589,145,Other,"East Tylerside, IA",6th Grade,7,6,11.79500661,208.1181091,Physics,Science,74.98459028,73.85498925,4,4,9,2101.016677,Free,0,3,Yes,No,0,F
90fbbf3d-8fdc-4f79-bbc1-166aa1c81c7b,134,Male,"Karenstad, MD",6th Grade,7,4,13.92823485,264.2954571,Physics,Science,76.076244,74.32885642,4,4,10,2107.296369,Premium,9.99,9,Yes,No,0,D
5600e1fe-fdc9-4be0-b539-bfaad693c5b5,162,Other,"North Yvonne, WY",8th Grade,11,10,15.05378287,451.8309534,Web Development,Programming,71.76228665,80.19667217,4,3,15,2744.591061,Basic,5.99,5,Yes,No,1,F
e0a60060-e113-42f5-8f00-d2487d36ea63,187,Female,"Johnbury, ND",10th Grade,9,7,23.36816841,421.0306522,Algebra 2,Math,75.9534504,78.51904825,4,3,13,2069.743254,Basic,5.99,5,Yes,No,0,D
b4410dc2-1c33-446b-9481-0574b8712ffe,179,Other,"Port Michael, OH",8th Grade,9,7,21.18116278,427.3042563,Chemistry,Science,76.74094041,73.75735413,4,4,17,2448.674347,Free,0,4,Yes,No,1,D
9b7e6dd1-cd6a-44a0-968a-acfbbb01b8bb,205,Female,"Deanburgh, NY",12th Grade,13,11,15,330.0169012,Environmental Science,Science,55.84522147,70.6299062,4,3,17,2785.586493,Premium,9.99,12,Yes,No,0,F
02b75a51-d0ba-40e7-8ef3-5fae4004dfaf,179,Other,"North Cynthia, OH",8th Grade,10,7,11,287.795399,Biology,Science,74.26327484,86.69255624,4,3,12,1990.438224,Premium,9.99,8,Yes,Yes,0,D
f3c41681-cc61-4016-80cc-91356a875d4d,192,Male,"Michaelhaven, ID",9th Grade,8,6,15.72244325,327.2815402,Chemistry,Science,81.99139908,91.79891379,4,4,10,2319.679281,Free,0,7,Yes,Yes,0,C
9a9a7b00-e35a-44db-b819-487f9d48fb51,177,Male,"South Raymondburgh, UT",9th Grade,9,9,22.60878525,313.8358425,Data Structures,Programming,77.52867675,86.81904045,4,3,13,2865.533487,Free,0,10,Yes,Yes,2,C
2c62d630-93c1-4958-8d44-4fa586db28ec,209,Other,"Freemanview, MO",11th Grade,8,8,16.98886139,180.8946197,Pre-Calculus,Math,67.25974692,67.73859339,4,4,8,2081.852436,Basic,5.99,1,Yes,No,0,F
34e0036e-2ff7-43da-8165-65ef60c98a86,208,Male,"North Tamara, NM",11th Grade,3,2,8.477179204,115.0245815,Environmental Science,Science,63.01431247,80.04443354,4,4,5,1485.303838,Free,0,3,Yes,Yes,1,F
70b7c240-dc58-43ec-b265-5aeeb8b491f4,213,Male,"Danielborough, NM",11th Grade,6,5,14.06638028,170.9192855,Java Programming,Programming,53.55980174,68.13613678,4,4,6,1743.60089,Free,0,1,Yes,No,0,F
0793267f-7fd3-4c69-a20b-8b646e3198f8,136,Other,"West Edward, ME",6th Grade,5,7,9.547025884,176.0500945,Data Structures,Programming,74.24408815,77.20649876,5,5,5,1780.784142,Basic,5.99,14,Yes,No,0,F
cb21128e-5f65-42d3-ba57-d921c30022ba,170,Other,"South Debbiemouth, SD",9th Grade,9,8,12,241.7105775,Trigonometry,Math,84.04653449,84.48449395,4,4,12,2341.537602,Basic,5.99,2,Yes,Yes,0,D
e25eaa83-922d-41af-bd45-215fcfc76f7d,199,Other,"Arielhaven, HI",11th Grade,8,8,12.37251746,203.1772214,Java Programming,Programming,61.41264756,65.49398788,4,4,9,2123.819599,Free,0,2,Yes,No,0,F
